dgp,setting,linearity_degree,N,method,mean,sd,rmse,estimand_type,estimand_id
canonical,B2_sweep_serial,3,800,wang,0.18057348860013012,2.0931281467272784,2.0904498006460175,GATT,g=4_t=4
canonical,B2_sweep_serial,3,1600,doubleml,0.24684655439508632,1.8772934757248498,1.8841235913484615,GATT,g=4_t=4
canonical,B2_sweep_serial,3,1600,wang,0.3180949326804159,1.7085774942156322,1.729517004657579,GATT,g=4_t=4
staggered,D_contamination,1,200,did_dr,-0.6964505015852461,4.253085408201931,4.288693441565151,GATT,g=4_t=4
staggered,D_contamination,1,200,doubleml,-0.6603264949417432,5.708265715684462,5.717909197073008,GATT,g=4_t=4
staggered,D_contamination,1,200,wang,-0.7049490355009597,4.20994566108474,4.247747542786306,GATT,g=4_t=4
staggered,D_contamination,2,200,did_dr,-0.5701205488555371,4.345593053308572,4.361016755587469,GATT,g=4_t=4
staggered,D_contamination,2,200,doubleml,-0.8684560189200263,5.977024005262044,6.010140069639172,GATT,g=4_t=4
staggered,D_contamination,2,200,wang,-0.704686946822541,4.213760312562856,4.251447036602314,GATT,g=4_t=4
staggered,D_contamination,3,200,did_dr,-0.5701205488555384,4.345593053308577,4.3610167555874755,GATT,g=4_t=4
staggered,D_contamination,3,200,doubleml,-1.4452039262479577,5.8438741362832305,5.991491522146667,GATT,g=4_t=4
staggered,D_contamination,3,200,wang,-0.7066582075506704,4.209175167794828,4.247275580833851,GATT,g=4_t=4
staggered,D_ramp_nt05,1,200,did_dr,0.6741112209905922,7.155348403713934,7.1676482351909145,GATT,g=4_t=4
staggered,D_ramp_nt05,1,200,doubleml,-1.4806135484642036,19.154303400717367,19.159759404608508,GATT,g=4_t=4
staggered,D_ramp_nt05,1,200,wang,0.2368381249756903,6.02811367072546,6.017686927091941,GATT,g=4_t=4
staggered,D_ramp_nt05,2,200,did_dr,0.4958848659135803,8.461614437158595,8.450803786750496,GATT,g=4_t=4
staggered,D_ramp_nt05,2,200,doubleml,-1.63242812307682,31.31825286555563,31.276124829177974,GATT,g=4_t=4
staggered,D_ramp_nt05,2,200,wang,0.2506606947335893,6.115689207735168,6.105528396221306,GATT,g=4_t=4
staggered,D_ramp_nt05,3,200,did_dr,0.4958848659135769,8.461614437158595,8.450803786750496,GATT,g=4_t=4
staggered,D_ramp_nt05,3,200,doubleml,-0.006602755832829474,36.89493684085733,36.79508627092188,GATT,g=4_t=4
staggered,D_ramp_nt05,3,200,wang,0.5683572924662639,6.145683341765246,6.156590503717474,GATT,g=4_t=4
staggered,D_ramp_nt10,1,200,did_dr,0.2446514790797093,5.400159823707041,5.3921954561372925,GATT,g=4_t=4
staggered,D_ramp_nt10,1,200,doubleml,0.15830070492373113,8.312009929303446,8.29271491326539,GATT,g=4_t=4
staggered,D_ramp_nt10,1,200,wang,-0.045705024555582924,4.703964559513898,4.6924125046234595,GATT,g=4_t=4
staggered,D_ramp_nt10,2,200,did_dr,0.16489311016267386,5.773754932995151,5.761215101377646,GATT,g=4_t=4
staggered,D_ramp_nt10,2,200,doubleml,0.1469494305722716,10.280232490308682,10.255552558963839,GATT,g=4_t=4
staggered,D_ramp_nt10,2,200,wang,-0.002288139626968122,4.760854949274006,4.7489384481555055,GATT,g=4_t=4
staggered,D_ramp_nt10,3,200,did_dr,0.16489311016266592,5.773754932995148,5.761215101377644,GATT,g=4_t=4
staggered,D_ramp_nt10,3,200,doubleml,5.04947590288446,59.666131926684244,59.73059743122309,GATT,g=4_t=4
staggered,D_ramp_nt10,3,200,wang,0.25334240508736916,4.757444872025349,4.752293938302209,GATT,g=4_t=4
staggered,D_ramp_nt20,1,200,did_dr,-0.3433047100275379,4.398115091834973,4.400517856246979,GATT,g=4_t=4
staggered,D_ramp_nt20,1,200,doubleml,-0.6773249354608001,5.427690208796889,5.4563074478857265,GATT,g=4_t=4
staggered,D_ramp_nt20,1,200,wang,-0.35021497723285533,4.2385736455471195,4.242443817690598,GATT,g=4_t=4
